Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,28.9906,29.5072,1,1,0.5063,,4,5,45,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,29.5075,30.0421,3,1,0.534,,4,6,46,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,30.0426,30.707,2,1,0.6527,,4,7,47,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,30.7074,31.2244,4,1,0.5138,,4,8,48,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,31.2254,31.7899,1,1,0.5552,,4,9,49,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,31.7901,32.2237,2,1,0.4235,,5,0,50,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,32.2239,32.6584,3,1,0.4226,,5,1,51,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,32.6588,33.1249,2,1,0.46,,5,2,52,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,33.1253,33.4924,3,1,0.3541,,5,3,53,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,33.4927,33.9927,1,1,0.4909,,5,4,54,4,1,5,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,33.9929,34.4912,1,1,0.4931,,5,5,55,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,34.4916,34.8587,1,0,0.3547,,5,6,56,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,34.859,35.0932,3,0,0.222,,5,7,57,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,35.0936,35.6259,4,1,0.5293,,5,8,58,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,35.6271,36.1085,1,1,0.4769,,5,9,59,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,36.1091,36.4759,1,0,0.3547,,6,0,60,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,36.4764,37.126,3,1,0.6375,,6,1,61,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,37.1263,37.6259,2,1,0.4984,,6,2,62,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,37.6263,38.0561,3,1,0.4248,,6,3,63,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,38.0566,38.5898,1,1,0.5272,,6,4,64,4,1,5,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,38.59,39.092,1,1,0.4904,,6,5,65,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,39.0922,39.6416,3,1,0.5439,,6,6,66,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,39.6419,40.074,2,1,0.4305,,6,7,67,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,40.0742,40.7089,4,1,0.631,,6,8,68,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,40.7092,41.2396,1,1,0.522,,6,9,69,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,41.2398,41.7595,1,0,0.5115,,7,0,70,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,41.7598,41.7925,2,0,0.0237,,7,1,71,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,41.793,42.3087,2,1,0.5062,,7,2,72,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,42.309,42.7895,3,1,0.4762,,7,3,73,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,42.7899,43.3078,2,0,0.5075,,7,4,74,4,1,5,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,43.3082,43.8909,1,1,0.5717,,7,5,75,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,43.8912,44.3894,3,1,0.49,,7,6,76,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,44.3897,44.8405,2,1,0.4407,,7,7,77,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,44.8407,45.3729,4,1,0.5231,,7,8,78,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,45.3732,45.8584,1,1,0.4768,,7,9,79,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,45.8587,46.4083,2,1,0.5373,,8,0,80,0,1,1,M,,2
